id,CPUUsage,RAMUsage,DownloadSpeed,UploadSpeed,Temperature,Humidity,Class
1,19.2,62.9,145.4890053,82.24655722,30.00086212,59.10425949,0
2,12.2,62.7,158.1619863,94.83153672,29.81982803,58.98845673,0
3,10.6,62.5,168.463852,94.63507884,29.71120834,59.0667038,0
4,10.8,62.6,159.1630147,94.69342517,29.69310379,59.12303925,0
5,9.7,63.1,163.1341813,95.47991545,29.5120697,59.18250275,0
6,10.2,63,171.0637064,96.65114575,29.47586441,59.37029266,0
7,9.3,63,170.2516241,92.03601057,29.27672577,59.8366394,0
8,11.7,63.5,165.0159208,91.23328731,29.22241592,59.93679428,0
9,13.9,63.4,155.7619989,97.50781447,29.22241592,60.11519623,0
10,13.7,63.3,125.1302882,97.28378914,29.16810417,60.21534729,0
11,14.2,63.6,162.5949646,94.92819105,29.16810417,59.9493103,0
12,12.3,63.9,139.2848212,105.8675231,29.31293106,59.95870209,0
13,22,65.7,157.1074869,90.63108897,29.85603523,58.7036438,0
14,18.9,66.1,152.8178115,92.42169213,29.81982803,58.88830185,0
15,27.9,67.5,133.0116542,98.58543163,29.98275948,58.70677185,0
16,20.6,68.5,126.2635835,102.4274389,29.91034698,58.6566925,0
17,31.3,71,125.1942869,98.23597547,29.92844963,58.64417267,0
18,39.9,75.9,132.4354386,115.1593936,29.91034698,58.82570648,0
19,66.6,83.8,134.2949349,114.6201208,29.6568985,58.50020599,1
20,70.7,84.5,132.2777352,121.0572728,29.74741364,58.7631073,1
21,73.2,85.3,122.6528758,138.3246615,29.78362274,58.3468399,1
22,72.6,86.3,122.4765496,110.7521471,29.72931099,58.4000473,1
23,70.8,83.7,132.4363065,101.4566875,29.78362274,58.57218933,1
24,63,83.9,116.1667425,120.0506822,30.05517387,58.43760681,1
25,77.4,95.9,124.9721026,98.02203873,31.66637993,54.6818161,1
26,91.1,95.7,166.685551,121.8949335,31.68448257,54.83830643,1
27,89.8,96.9,129.8210872,106.0922468,31.55775833,54.81326675,1
28,85.6,95.7,123.1551414,114.4675459,31.57586288,54.65051651,1
29,88.6,95.6,155.5135001,118.3623076,31.48534584,54.81639862,1
30,91.2,95.3,133.8555712,100.6227926,31.50344849,54.49715424,1
31,92.5,95.3,125.5228444,97.46921845,31.48534584,54.431427,1
32,89.8,95.8,136.7767568,124.29777,31.50344849,54.1747818,1
33,91.3,92.4,133.73089,132.9735471,31.52155304,54.46272659,1
34,91.7,92.8,130.9321866,114.6534933,31.50344849,54.28432465,1
35,87.5,93.3,131.2992794,123.8758242,31.48534584,54.28745651,1
36,87.3,88.1,131.5015239,105.7857787,31.53965759,53.87432098,1
37,88.5,85.9,137.7970349,99.11371498,31.59396744,53.8054657,1
38,81.8,86.8,123.8623172,105.9441752,31.55775833,53.90248871,1
39,86.1,87,132.3122947,107.049872,31.50344849,54.02455139,1
40,85.2,87.7,129.9404141,114.4996394,31.59396744,53.89622879,1
41,83.9,86,131.6406632,104.5875233,31.50344849,53.82111359,1
42,83.1,86.7,128.7779805,121.5513242,31.70258713,53.47057343,1
43,62.7,85.3,127.8556645,100.1908895,32.08275986,51.84306335,1
44,60.9,90.6,131.3635584,98.1398102,31.73879433,52.16230392,1
45,78.3,87.3,134.0308354,114.940189,31.75689697,52.23115921,1
46,46.9,87.7,111.9462282,96.38666008,31.75689697,52.28749847,1
47,66.4,91.7,132.2805811,98.38223655,31.81120682,52.30314636,1
48,69,92.5,148.9517942,137.8379951,31.77500153,52.41581726,1
49,71.6,92.9,150.9214337,106.4149884,31.82931137,52.44085693,1
50,65.2,92.6,130.5130255,109.3588049,31.431036,52.60987091,1
51,68,92.4,127.709393,100.0585602,31.48534584,52.46589661,1
52,60.2,93.3,134.1051727,132.3579529,31.431036,51.67404938,1
53,71.3,93.5,133.7068629,120.3291698,31.34051895,52.71002197,1
54,70.3,93.6,135.6388165,98.03060484,31.37672424,52.86651611,1
55,79.7,95.3,94.24565008,97.47272903,31.41293335,52.81330872,1
56,73.5,92.4,135.0381422,99.21412676,32.02845001,51.56137848,1
57,76.2,92.2,115.2588136,99.0068191,32.01034546,51.37046051,1
58,72.4,92.2,133.2515936,99.91699043,32.0646553,51.62084198,1
59,73.4,93,132.4911366,95.36481422,32.0646553,51.48939133,1
60,71.9,92.6,127.2525975,98.7159989,32.10086441,51.5895462,1
61,75.7,93,130.8346943,97.9082852,32.04655457,51.63023376,1
62,73.4,93.2,158.5011753,96.30490022,32.24568939,51.63962555,1
63,71.7,93.4,133.395776,100.2596267,32.26379395,51.83679962,1
64,71.9,94,139.3874506,94.06413756,32.24568939,51.47061157,1
65,72.9,94.1,111.9566882,99.00793871,32.22758865,52.04024124,1
66,72.9,94.2,132.2787722,104.6369594,32.35430908,51.91817474,1
67,70.5,95.1,134.968498,98.62994556,32.2818985,52.17169189,1
68,72.8,95,166.1061721,98.15843066,32.77069092,54.23424911,1
69,76.9,92.9,133.0367919,96.42146173,32.66207123,54.50028229,1
70,73.6,93.8,150.4955506,96.03120671,32.77069092,54.29684448,1
71,77.1,94,150.9254224,97.64502373,32.82500076,54.2279892,1
72,72.7,94.3,160.8040238,98.67021535,32.84310532,54.76631927,1
73,73.8,94.5,172.0854906,96.46530316,32.9879303,54.74441147,1
74,73.5,90.6,112.4058774,83.65333588,33.11465454,54.431427,1
75,54.1,86.3,137.5011532,107.4372569,33.35000229,52.14665222,1
76,66.4,89,129.8866706,109.2356076,33.31379318,52.42520905,1
77,60.1,88.6,132.7907355,115.1459064,33.25948334,51.8993988,1
78,56.6,86.3,130.3432996,110.7204173,33.27758789,51.40175629,1
79,53,85.8,122.8264562,134.5095378,33.31379318,52.04962921,1
80,41.8,87.6,128.6624301,95.69261694,33.22327805,51.79611206,1
81,70,64.4,126.7447004,101.091647,31.73879433,52.86651611,1
82,19.3,66.1,121.2229205,66.36598491,31.77500153,52.38139343,1
83,20.6,70,136.0278567,93.30066661,31.73879433,52.35009384,1
84,10.5,70.3,163.2423999,101.518643,31.68448257,52.61299896,1
